Variable,Category,WOE,Coef,Points
AccidentArea,Rural,0.39274545348690143,0.8383476317154507,-10.0
AccidentArea,Urban,-0.06079486568002956,0.8383476317154507,1.0
AddressChange_Claim,under 6 months,8.497594543314888,1.1183377300505724,-274.0
AddressChange_Claim,2 to 3 years,1.2782234650900206,1.1183377300505724,-41.0
AddressChange_Claim,1 year,0.5631105626908354,1.1183377300505724,-18.0
AddressChange_Claim,no change,-0.060733635275870806,1.1183377300505724,2.0
AddressChange_Claim,4 to 8 years,-0.07985402664945608,1.1183377300505724,3.0
AgeOfPolicyHolder,18 to 20,1.68283852413773,0.7015253964289494,-34.0
AgeOfPolicyHolder,16 to 17,0.70287735650627,0.7015253964289494,-14.0
AgeOfPolicyHolder,26 to 30,0.19207293185963634,0.7015253964289494,-4.0
AgeOfPolicyHolder,31 to 35,0.1175703801388217,0.7015253964289494,-2.0
AgeOfPolicyHolder,36 to 40,0.07195797939594702,0.7015253964289494,-1.0
AgeOfPolicyHolder,over 65,-0.07576387208880556,0.7015253964289494,2.0
AgeOfPolicyHolder,41 to 50,-0.3940382185844302,0.7015253964289494,8.0
AgeOfPolicyHolder,51 to 65,-0.426474689555571,0.7015253964289494,9.0
AgeOfPolicyHolder,21 to 25,-8.280248530722544,0.7015253964289494,168.0
AgeOfVehicle,new,0.5851000427937998,0.7299998503243272,-12.0
AgeOfVehicle,4 years,0.4309421656098315,0.7299998503243272,-9.0
AgeOfVehicle,5 years,0.4433879441879491,0.7299998503243272,-9.0
AgeOfVehicle,6 years,0.16260497518851844,0.7299998503243272,-3.0
AgeOfVehicle,7 years,-0.1717632832826914,0.7299998503243272,4.0
AgeOfVehicle,more than 7,-0.16924476126768065,0.7299998503243272,4.0
AgeOfVehicle,2 years,-8.354338397412642,0.7299998503243272,176.0
AgeOfVehicle,3 years,-9.116352909228834,0.7299998503243272,192.0
AgentType,External,0.017172755194034245,0.9506417334473343,-0.0
AgentType,Internal,-1.4941630193660873,0.9506417334473343,41.0
DayOfWeekClaimed,Saturday,0.8851281235653975,0.8457179841122106,-22.0
DayOfWeekClaimed,Sunday,0.2173460125923444,0.8457179841122106,-5.0
DayOfWeekClaimed,Thursday,0.13980855658508992,0.8457179841122106,-3.0
DayOfWeekClaimed,Tuesday,0.049601867368844844,0.8457179841122106,-1.0
DayOfWeekClaimed,Friday,-0.017220303913221192,0.8457179841122106,0.0
DayOfWeekClaimed,Wednesday,-0.025101989429308306,0.8457179841122106,1.0
DayOfWeekClaimed,Monday,-0.17578361861625344,0.8457179841122106,4.0
DayOfWeekClaimed,,-5.718336247032978,0.8457179841122106,140.0
Make,Mercury,1.34714423099831,1.0324350570972716,-40.0
Make,Nissan,0.7026954195488352,1.0324350570972716,-21.0
Make,Acura,0.5851055727564115,1.0324350570972716,-17.0
Make,Ford,0.38443899842146145,1.0324350570972716,-11.0
Make,Saab,0.3399565625335561,1.0324350570972716,-10.0
Make,Pontiac,0.15817557730731874,1.0324350570972716,-5.0
Make,Saturn,0.14325614590224536,1.0324350570972716,-4.0
Make,Mazda,0.07429424656184751,1.0324350570972716,-2.0
Make,Porsche,0.0,1.0324350570972716,-0.0
Make,Honda,-0.06290605962071134,1.0324350570972716,2.0
Make,Dodge,-0.2621305014086637,1.0324350570972716,8.0
